,degree,clustering_coeff,betweenness_centrality,eigenvector_centrality,community_id
0,347,0.04196165314587463,0.16148647905400257,4.1086851569415494e-05,0
1,17,0.41911764705882354,2.2511474403376367e-06,6.751777686237822e-07,0
2,10,0.8888888888888888,6.19425097442515e-08,2.853943978088916e-07,0
3,17,0.6323529411764706,3.816346850354161e-06,7.357336827166688e-07,0
4,10,0.8666666666666667,1.23885019488503e-07,2.8538626320902935e-07,0
5,13,0.3333333333333333,2.8399165896078737e-06,1.2553552605203001e-06,0
6,6,0.9333333333333333,0.0,2.768244328370223e-07,0
7,20,0.43157894736842106,0.00016409358045934438,2.5889525994194617e-05,0
8,8,0.6785714285714286,0.0,2.8040438679999273e-07,0
9,57,0.39724310776942356,1.721419747366248e-05,2.3255261687262673e-06,0
10,10,0.8222222222222222,0.0,8.393839169668094e-07,0
11,1,0.0,0.0,2.676407902886068e-07,0
12,1,0.0,0.0,2.676407902886068e-07,0
13,31,0.6516129032258065,5.241384481644587e-07,1.190272671416825e-06,0
14,15,0.7428571428571429,1.5338145270005133e-07,2.9521319604743205e-07,0
15,1,0.0,0.0,2.676407902886068e-07,0
16,9,0.6666666666666666,2.7726647218855436e-07,3.2447061460600257e-07,0
17,13,0.7307692307692307,1.4158287941543198e-07,2.913858287934014e-07,0
18,1,0.0,0.0,2.676407902886068e-07,0
19,16,0.2833333333333333,0.0,2.9638798077248447e-07,0
20,15,0.6857142857142857,1.2502554823934953e-06,2.949673972952564e-07,0
21,65,0.3490384615384615,0.0012370712620388686,2.6204521304485787e-05,0
22,11,0.4727272727272727,4.709775935705772e-07,1.106259435572188e-06,0
23,17,0.16911764705882354,6.937561091356168e-06,2.979418114557848e-07,0
24,16,0.9,9.73382295981095e-08,3.1453729036249995e-07,0
25,69,0.2885763000852515,9.416740069774225e-05,2.2085574424415696e-06,0
26,68,0.4113257243195786,2.8355615536855124e-05,2.453879845811117e-06,0
27,5,0.9,0.0,4.4668958294165685e-07,0
28,13,0.7692307692307693,1.5338145270005133e-07,2.9122772306659934e-07,0
29,13,0.46153846153846156,0.0,3.5825152786982814e-07,0
30,17,0.5,4.148137937106169e-07,1.0372627253847423e-06,0
31,23,0.43478260869565216,7.347477630366111e-06,1.5347572026436284e-06,0
32,6,1.0,0.0,2.770816898946937e-07,0
33,2,1.0,0.0,2.694180201674383e-07,0
34,5,0.6,0.00392742400063943,4.411991884241921e-06,1
35,2,1.0,0.0,2.69544581757027e-07,0
36,11,0.9636363636363636,1.1012001732311377e-07,2.982776144424446e-07,0
37,1,0.0,0.0,2.676407902886068e-07,0
38,9,0.3611111111111111,1.0358943920218455e-06,7.881770650988538e-07,0
39,15,0.49523809523809526,2.0351301303386048e-07,5.563478839435352e-07,0
40,44,0.4048625792811839,1.2834568966322234e-05,1.884087119360471e-06,0
41,24,0.4673913043478261,8.435979898502823e-07,3.1211563378085395e-07,0
42,2,1.0,0.0,2.694180201674383e-07,0
43,1,0.0,0.0,2.676407902886068e-07,0
44,6,1.0,0.0,2.7766149392894064e-07,0
45,12,0.7272727272727273,7.216793992425492e-07,8.42324725216318e-07,0
46,5,1.0,0.0,2.7538796147841304e-07,0
47,2,1.0,0.0,2.703831686663089e-07,0
48,22,0.329004329004329,4.578395678361068e-06,5.559079446758978e-07,0
49,4,0.5,9.91080155908024e-07,2.7301033866436716e-07,0
50,11,0.5636363636363636,0.0,5.125910696415797e-07,0
